Symbol	Decimal Value	Hex Code	Character name	General category	Character Notes	Unicode block	GraphoSemanticDescription	Latin_Look-Alike_Translit	Latin_Function-Alike_Translit	Canonical combining classes	Bidirectional category	Character decomposition mapping	Decimal digit value	Digit value		Numeric value	Mirrored	Unicode 1.0 Name	Uppercase mapping	Lowercase mapping	Titlecase mapping	Open bracket	Close Bracket	Canonical decomposition	Canonical decomp hex, via Java (only listed if different from original character)	UnicodeBlocks in decomp hex			
		00E1	LATIN SMALL LETTER A WITH ACUTE	Ll						0	L	0061 0301				N	LATIN SMALL LETTER A ACUTE	00C1		00C1									
		3000	IDEOGRAPHIC SPACE	Zs			space			0	WS	<wide> 0020				N													
		D800	<Non Private Use High Surrogate, First>	Cs						0	L					N													
		DB7F	<Non Private Use High Surrogate, Last>	Cs						0	L					N													
		DB80	<Private Use High Surrogate, First>	Cs						0	L					N													
		DBFF	<Private Use High Surrogate, Last>	Cs						0	L					N													
		DC00	<Low Surrogate, First>	Cs						0	L					N													
		DFFF	<Low Surrogate, Last>	Cs						0	L					N													
		F0000	<Plane 15 Private Use, First>	Co						0	L					N													
		F8FF	<Private Use, Last>	Co						0	L					N													
		FFFFD	<Plane 15 Private Use, Last>	Co						0	L					N													
­		00AD	SOFT HYPHEN	Cf		LATIN_1_SUPPLEMENT	dash	-		0	BN					N							­		LATIN_1_SUPPLEMENT				
͏		034F	COMBINING GRAPHEME JOINER	Mn		COMBINING_DIACRITICAL_MARKS				0	NSM					N							͏		COMBINING_DIACRITICAL_MARKS				
Ϳ		037F	GREEK CAPITAL LETTER YOT	Lu		GREEK				0	L					N			03F3				Ϳ		GREEK				
Ԥ		0524	CYRILLIC CAPITAL LETTER PE WITH DESCENDER	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			0525				Ԥ		CYRILLIC_SUPPLEMENTARY				
ԥ		0525	CYRILLIC SMALL LETTER PE WITH DESCENDER	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		0524		0524			ԥ		CYRILLIC_SUPPLEMENTARY				
Ԧ		0526	CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			0527				Ԧ		CYRILLIC_SUPPLEMENTARY				
ԧ		0527	CYRILLIC SMALL LETTER SHHA WITH DESCENDER	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		0526		0526			ԧ		CYRILLIC_SUPPLEMENTARY				
Ԩ		0528	CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			0529				Ԩ		CYRILLIC_SUPPLEMENTARY				
ԩ		0529	CYRILLIC SMALL LETTER EN WITH LEFT HOOK	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		0528		0528			ԩ		CYRILLIC_SUPPLEMENTARY				
Ԫ		052A	CYRILLIC CAPITAL LETTER DZZHE	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			052B				Ԫ		CYRILLIC_SUPPLEMENTARY				
ԫ		052B	CYRILLIC SMALL LETTER DZZHE	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		052A		052A			ԫ		CYRILLIC_SUPPLEMENTARY				
Ԭ		052C	CYRILLIC CAPITAL LETTER DCHE	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			052D				Ԭ		CYRILLIC_SUPPLEMENTARY				
ԭ		052D	CYRILLIC SMALL LETTER DCHE	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		052C		052C			ԭ		CYRILLIC_SUPPLEMENTARY				
Ԯ		052E	CYRILLIC CAPITAL LETTER EL WITH DESCENDER	Lu		CYRILLIC_SUPPLEMENTARY				0	L					N			052F				Ԯ		CYRILLIC_SUPPLEMENTARY				
ԯ		052F	CYRILLIC SMALL LETTER EL WITH DESCENDER	Ll		CYRILLIC_SUPPLEMENTARY				0	L					N		052E		052E			ԯ		CYRILLIC_SUPPLEMENTARY				
֍		058D	RIGHT-FACING ARMENIAN ETERNITY SIGN	So		ARMENIAN				0	ON					N							֍		ARMENIAN				
֎		058E	LEFT-FACING ARMENIAN ETERNITY SIGN	So		ARMENIAN				0	ON					N							֎		ARMENIAN				
֏		058F	ARMENIAN DRAM SIGN	Sc		ARMENIAN	currency, dram			0	ET					N							֏		ARMENIAN				
ـ		0640	ARABIC TATWEEL	Lm		ARABIC	formatting	delete		0	AL					N							ـ		ARABIC				
؄		0604	ARABIC SIGN SAMVAT	Cf		ARABIC				0	AN					N							؄		ARABIC				
؅		0605	ARABIC NUMBER MARK ABOVE	Cf		ARABIC				0	AN					N							؅		ARABIC				
؜		061C	ARABIC LETTER MARK	Cf		ARABIC				0	AL					N							؜		ARABIC				
ؠ		0620	ARABIC LETTER KASHMIRI YEH	Lo		ARABIC				0	AL					N							ؠ		ARABIC				
ٟ		065F	ARABIC WAVY HAMZA BELOW	Mn		ARABIC				220	NSM					N							ٟ		ARABIC				
ࠀ		0800	SAMARITAN LETTER ALAF	Lo		SAMARITAN				0	R					N							ࠀ		SAMARITAN				
ࠁ		0801	SAMARITAN LETTER BIT	Lo		SAMARITAN				0	R					N							ࠁ		SAMARITAN				
ࠂ		0802	SAMARITAN LETTER GAMAN	Lo		SAMARITAN				0	R					N							ࠂ		SAMARITAN				
ࠃ		0803	SAMARITAN LETTER DALAT	Lo		SAMARITAN				0	R					N							ࠃ		SAMARITAN				
ࠄ		0804	SAMARITAN LETTER IY	Lo		SAMARITAN				0	R					N							ࠄ		SAMARITAN				
ࠅ		0805	SAMARITAN LETTER BAA	Lo		SAMARITAN				0	R					N							ࠅ		SAMARITAN				
ࠆ		0806	SAMARITAN LETTER ZEN	Lo		SAMARITAN				0	R					N							ࠆ		SAMARITAN				
ࠇ		0807	SAMARITAN LETTER IT	Lo		SAMARITAN				0	R					N							ࠇ		SAMARITAN				
ࠈ		0808	SAMARITAN LETTER TIT	Lo		SAMARITAN				0	R					N							ࠈ		SAMARITAN				
ࠉ		0809	SAMARITAN LETTER YUT	Lo		SAMARITAN				0	R					N							ࠉ		SAMARITAN				
ࠊ		080A	SAMARITAN LETTER KAAF	Lo		SAMARITAN				0	R					N							ࠊ		SAMARITAN				
ࠋ		080B	SAMARITAN LETTER LABAT	Lo		SAMARITAN				0	R					N							ࠋ		SAMARITAN				
ࠌ		080C	SAMARITAN LETTER MIM	Lo		SAMARITAN				0	R					N							ࠌ		SAMARITAN				
ࠍ		080D	SAMARITAN LETTER NUN	Lo		SAMARITAN				0	R					N							ࠍ		SAMARITAN				
ࠎ		080E	SAMARITAN LETTER SINGAAT	Lo		SAMARITAN				0	R					N							ࠎ		SAMARITAN				
ࠏ		080F	SAMARITAN LETTER IN	Lo		SAMARITAN				0	R					N							ࠏ		SAMARITAN				
ࠐ		0810	SAMARITAN LETTER FI	Lo		SAMARITAN				0	R					N							ࠐ		SAMARITAN				
ࠑ		0811	SAMARITAN LETTER TSAADIY	Lo		SAMARITAN				0	R					N							ࠑ		SAMARITAN				
ࠒ		0812	SAMARITAN LETTER QUF	Lo		SAMARITAN				0	R					N							ࠒ		SAMARITAN				
ࠓ		0813	SAMARITAN LETTER RISH	Lo		SAMARITAN				0	R					N							ࠓ		SAMARITAN				
ࠔ		0814	SAMARITAN LETTER SHAN	Lo		SAMARITAN				0	R					N							ࠔ		SAMARITAN				
ࠕ		0815	SAMARITAN LETTER TAAF	Lo		SAMARITAN				0	R					N							ࠕ		SAMARITAN				
ࠖ		0816	SAMARITAN MARK IN	Mn		SAMARITAN				230	NSM					N							ࠖ		SAMARITAN				
ࠗ		0817	SAMARITAN MARK IN-ALAF	Mn		SAMARITAN				230	NSM					N							ࠗ		SAMARITAN				
࠘		0818	SAMARITAN MARK OCCLUSION	Mn		SAMARITAN				230	NSM					N							࠘		SAMARITAN				
࠙		0819	SAMARITAN MARK DAGESH	Mn		SAMARITAN				230	NSM					N							࠙		SAMARITAN				
ࠚ		081A	SAMARITAN MODIFIER LETTER EPENTHETIC YUT	Lm		SAMARITAN				0	R					N							ࠚ		SAMARITAN				
ࠛ		081B	SAMARITAN MARK EPENTHETIC YUT	Mn		SAMARITAN				230	NSM					N							ࠛ		SAMARITAN				
ࠜ		081C	SAMARITAN VOWEL SIGN LONG E	Mn		SAMARITAN				230	NSM					N							ࠜ		SAMARITAN				
ࠝ		081D	SAMARITAN VOWEL SIGN E	Mn		SAMARITAN				230	NSM					N							ࠝ		SAMARITAN				
ࠞ		081E	SAMARITAN VOWEL SIGN OVERLONG AA	Mn		SAMARITAN				230	NSM					N							ࠞ		SAMARITAN				
ࠟ		081F	SAMARITAN VOWEL SIGN LONG AA	Mn		SAMARITAN				230	NSM					N							ࠟ		SAMARITAN				
ࠠ		0820	SAMARITAN VOWEL SIGN AA	Mn		SAMARITAN				230	NSM					N							ࠠ		SAMARITAN				
ࠡ		0821	SAMARITAN VOWEL SIGN OVERLONG A	Mn		SAMARITAN				230	NSM					N							ࠡ		SAMARITAN				
ࠢ		0822	SAMARITAN VOWEL SIGN LONG A	Mn		SAMARITAN				230	NSM					N							ࠢ		SAMARITAN				
ࠣ		0823	SAMARITAN VOWEL SIGN A	Mn		SAMARITAN				230	NSM					N							ࠣ		SAMARITAN				
ࠤ		0824	SAMARITAN MODIFIER LETTER SHORT A	Lm		SAMARITAN				0	R					N							ࠤ		SAMARITAN				
ࠥ		0825	SAMARITAN VOWEL SIGN SHORT A	Mn		SAMARITAN				230	NSM					N							ࠥ		SAMARITAN				
ࠦ		0826	SAMARITAN VOWEL SIGN LONG U	Mn		SAMARITAN				230	NSM					N							ࠦ		SAMARITAN				
ࠧ		0827	SAMARITAN VOWEL SIGN U	Mn		SAMARITAN				230	NSM					N							ࠧ		SAMARITAN				
ࠨ		0828	SAMARITAN MODIFIER LETTER I	Lm		SAMARITAN				0	R					N							ࠨ		SAMARITAN				
ࠩ		0829	SAMARITAN VOWEL SIGN LONG I	Mn		SAMARITAN				230	NSM					N							ࠩ		SAMARITAN				
ࠪ		082A	SAMARITAN VOWEL SIGN I	Mn		SAMARITAN				230	NSM					N							ࠪ		SAMARITAN				
ࠫ		082B	SAMARITAN VOWEL SIGN O	Mn		SAMARITAN				230	NSM					N							ࠫ		SAMARITAN				
ࠬ		082C	SAMARITAN VOWEL SIGN SUKUN	Mn		SAMARITAN				230	NSM					N							ࠬ		SAMARITAN				
࠭		082D	SAMARITAN MARK NEQUDAA	Mn		SAMARITAN				230	NSM					N							࠭		SAMARITAN				
࠰		0830	SAMARITAN PUNCTUATION NEQUDAA	Po		SAMARITAN				0	R					N							࠰		SAMARITAN				
࠱		0831	SAMARITAN PUNCTUATION AFSAAQ	Po		SAMARITAN				0	R					N							࠱		SAMARITAN				
࠲		0832	SAMARITAN PUNCTUATION ANGED	Po		SAMARITAN				0	R					N							࠲		SAMARITAN				
࠳		0833	SAMARITAN PUNCTUATION BAU	Po		SAMARITAN				0	R					N							࠳		SAMARITAN				
࠴		0834	SAMARITAN PUNCTUATION ATMAAU	Po		SAMARITAN				0	R					N							࠴		SAMARITAN				
࠵		0835	SAMARITAN PUNCTUATION SHIYYAALAA	Po		SAMARITAN				0	R					N							࠵		SAMARITAN				
࠶		0836	SAMARITAN ABBREVIATION MARK	Po		SAMARITAN				0	R					N							࠶		SAMARITAN				
࠷		0837	SAMARITAN PUNCTUATION MELODIC QITSA	Po		SAMARITAN				0	R					N							࠷		SAMARITAN				
࠸		0838	SAMARITAN PUNCTUATION ZIQAA	Po		SAMARITAN				0	R					N							࠸		SAMARITAN				
࠹		0839	SAMARITAN PUNCTUATION QITSA	Po		SAMARITAN				0	R					N							࠹		SAMARITAN				
࠺		083A	SAMARITAN PUNCTUATION ZAEF	Po		SAMARITAN				0	R					N							࠺		SAMARITAN				
࠻		083B	SAMARITAN PUNCTUATION TURU	Po		SAMARITAN				0	R					N							࠻		SAMARITAN				
࠼		083C	SAMARITAN PUNCTUATION ARKAANU	Po		SAMARITAN				0	R					N							࠼		SAMARITAN				
࠽		083D	SAMARITAN PUNCTUATION SOF MASHFAAT	Po		SAMARITAN				0	R					N							࠽		SAMARITAN				
࠾		083E	SAMARITAN PUNCTUATION ANNAAU	Po		SAMARITAN				0	R					N							࠾		SAMARITAN				
ࡀ		0840	MANDAIC LETTER HALQA	Lo		MANDAIC				0	R					N							ࡀ		MANDAIC				
ࡁ		0841	MANDAIC LETTER AB	Lo		MANDAIC				0	R					N							ࡁ		MANDAIC				
ࡂ		0842	MANDAIC LETTER AG	Lo		MANDAIC				0	R					N							ࡂ		MANDAIC				
ࡃ		0843	MANDAIC LETTER AD	Lo		MANDAIC				0	R					N							ࡃ		MANDAIC				
ࡄ		0844	MANDAIC LETTER AH	Lo		MANDAIC				0	R					N							ࡄ		MANDAIC				
ࡅ		0845	MANDAIC LETTER USHENNA	Lo		MANDAIC				0	R					N							ࡅ		MANDAIC				
ࡆ		0846	MANDAIC LETTER AZ	Lo		MANDAIC				0	R					N							ࡆ		MANDAIC				
ࡇ		0847	MANDAIC LETTER IT	Lo		MANDAIC				0	R					N							ࡇ		MANDAIC				
ࡈ		0848	MANDAIC LETTER ATT	Lo		MANDAIC				0	R					N							ࡈ		MANDAIC				
ࡉ		0849	MANDAIC LETTER AKSA	Lo		MANDAIC				0	R					N							ࡉ		MANDAIC				
ࡊ		084A	MANDAIC LETTER AK	Lo		MANDAIC				0	R					N							ࡊ		MANDAIC				
ࡋ		084B	MANDAIC LETTER AL	Lo		MANDAIC				0	R					N							ࡋ		MANDAIC				
ࡌ		084C	MANDAIC LETTER AM	Lo		MANDAIC				0	R					N							ࡌ		MANDAIC				
ࡍ		084D	MANDAIC LETTER AN	Lo		MANDAIC				0	R					N							ࡍ		MANDAIC				
ࡎ		084E	MANDAIC LETTER AS	Lo		MANDAIC				0	R					N							ࡎ		MANDAIC				
ࡏ		084F	MANDAIC LETTER IN	Lo		MANDAIC				0	R					N							ࡏ		MANDAIC				
ࡐ		0850	MANDAIC LETTER AP	Lo		MANDAIC				0	R					N							ࡐ		MANDAIC				
ࡑ		0851	MANDAIC LETTER ASZ	Lo		MANDAIC				0	R					N							ࡑ		MANDAIC				
ࡒ		0852	MANDAIC LETTER AQ	Lo		MANDAIC				0	R					N							ࡒ		MANDAIC				
ࡓ		0853	MANDAIC LETTER AR	Lo		MANDAIC				0	R					N							ࡓ		MANDAIC				
ࡔ		0854	MANDAIC LETTER ASH	Lo		MANDAIC				0	R					N							ࡔ		MANDAIC				
ࡕ		0855	MANDAIC LETTER AT	Lo		MANDAIC				0	R					N							ࡕ		MANDAIC				
ࡖ		0856	MANDAIC LETTER DUSHENNA	Lo		MANDAIC				0	R					N							ࡖ		MANDAIC				
ࡗ		0857	MANDAIC LETTER KAD	Lo		MANDAIC				0	R					N							ࡗ		MANDAIC				
ࡘ		0858	MANDAIC LETTER AIN	Lo		MANDAIC				0	R					N							ࡘ		MANDAIC				
࡙		0859	MANDAIC AFFRICATION MARK	Mn		MANDAIC				220	NSM					N							࡙		MANDAIC				
࡚		085A	MANDAIC VOCALIZATION MARK	Mn		MANDAIC				220	NSM					N							࡚		MANDAIC				
࡛		085B	MANDAIC GEMINATION MARK	Mn		MANDAIC				220	NSM					N							࡛		MANDAIC				
࡞		085E	MANDAIC PUNCTUATION	Po		MANDAIC				0	R					N							࡞		MANDAIC				
ࢠ		08A0	ARABIC LETTER BEH WITH SMALL V BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢠ		ARABIC_EXTENDED_A				
ࢡ		08A1	ARABIC LETTER BEH WITH HAMZA ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢡ		ARABIC_EXTENDED_A				
ࢢ		08A2	ARABIC LETTER JEEM WITH TWO DOTS ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢢ		ARABIC_EXTENDED_A				
ࢣ		08A3	ARABIC LETTER TAH WITH TWO DOTS ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢣ		ARABIC_EXTENDED_A				
ࢤ		08A4	ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢤ		ARABIC_EXTENDED_A				
ࢥ		08A5	ARABIC LETTER QAF WITH DOT BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢥ		ARABIC_EXTENDED_A				
ࢦ		08A6	ARABIC LETTER LAM WITH DOUBLE BAR	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢦ		ARABIC_EXTENDED_A				
ࢧ		08A7	ARABIC LETTER MEEM WITH THREE DOTS ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢧ		ARABIC_EXTENDED_A				
ࢨ		08A8	ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢨ		ARABIC_EXTENDED_A				
ࢩ		08A9	ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢩ		ARABIC_EXTENDED_A				
ࢪ		08AA	ARABIC LETTER REH WITH LOOP	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢪ		ARABIC_EXTENDED_A				
ࢫ		08AB	ARABIC LETTER WAW WITH DOT WITHIN	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢫ		ARABIC_EXTENDED_A				
ࢬ		08AC	ARABIC LETTER ROHINGYA YEH	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢬ		ARABIC_EXTENDED_A				
ࢭ		08AD	ARABIC LETTER LOW ALEF	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢭ		ARABIC_EXTENDED_A				
ࢮ		08AE	ARABIC LETTER DAL WITH THREE DOTS BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢮ		ARABIC_EXTENDED_A				
ࢯ		08AF	ARABIC LETTER SAD WITH THREE DOTS BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢯ		ARABIC_EXTENDED_A				
ࢰ		08B0	ARABIC LETTER GAF WITH INVERTED STROKE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢰ		ARABIC_EXTENDED_A				
ࢱ		08B1	ARABIC LETTER STRAIGHT WAW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢱ		ARABIC_EXTENDED_A				
ࢲ		08B2	ARABIC LETTER ZAIN WITH INVERTED V ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢲ		ARABIC_EXTENDED_A				
ࢳ		08B3	ARABIC LETTER AIN WITH THREE DOTS BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢳ		ARABIC_EXTENDED_A				
ࢴ		08B4	ARABIC LETTER KAF WITH DOT BELOW	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢴ		ARABIC_EXTENDED_A				
ࢶ		08B6	ARABIC LETTER BEH WITH SMALL MEEM ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢶ		ARABIC_EXTENDED_A				
ࢷ		08B7	ARABIC LETTER PEH WITH SMALL MEEM ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢷ		ARABIC_EXTENDED_A				
ࢸ		08B8	ARABIC LETTER TEH WITH SMALL TEH ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢸ		ARABIC_EXTENDED_A				
ࢹ		08B9	ARABIC LETTER REH WITH SMALL NOON ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢹ		ARABIC_EXTENDED_A				
ࢺ		08BA	ARABIC LETTER YEH WITH TWO DOTS BELOW AND SMALL NOON ABOVE	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢺ		ARABIC_EXTENDED_A				
ࢻ		08BB	ARABIC LETTER AFRICAN FEH	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢻ		ARABIC_EXTENDED_A				
ࢼ		08BC	ARABIC LETTER AFRICAN QAF	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢼ		ARABIC_EXTENDED_A				
ࢽ		08BD	ARABIC LETTER AFRICAN NOON	Lo		ARABIC_EXTENDED_A				0	AL					N							ࢽ		ARABIC_EXTENDED_A				
ࣔ		08D4	ARABIC SMALL HIGH WORD AR-RUB	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣔ		ARABIC_EXTENDED_A				
ࣕ		08D5	ARABIC SMALL HIGH SAD	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣕ		ARABIC_EXTENDED_A				
ࣖ		08D6	ARABIC SMALL HIGH AIN	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣖ		ARABIC_EXTENDED_A				
ࣗ		08D7	ARABIC SMALL HIGH QAF	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣗ		ARABIC_EXTENDED_A				
ࣘ		08D8	ARABIC SMALL HIGH NOON WITH KASRA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣘ		ARABIC_EXTENDED_A				
ࣙ		08D9	ARABIC SMALL LOW NOON WITH KASRA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣙ		ARABIC_EXTENDED_A				
ࣚ		08DA	ARABIC SMALL HIGH WORD ATH-THALATHA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣚ		ARABIC_EXTENDED_A				
ࣛ		08DB	ARABIC SMALL HIGH WORD AS-SAJDA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣛ		ARABIC_EXTENDED_A				
ࣜ		08DC	ARABIC SMALL HIGH WORD AN-NISF	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣜ		ARABIC_EXTENDED_A				
ࣝ		08DD	ARABIC SMALL HIGH WORD SAKTA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣝ		ARABIC_EXTENDED_A				
ࣞ		08DE	ARABIC SMALL HIGH WORD QIF	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣞ		ARABIC_EXTENDED_A				
ࣟ		08DF	ARABIC SMALL HIGH WORD WAQFA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣟ		ARABIC_EXTENDED_A				
࣠		08E0	ARABIC SMALL HIGH FOOTNOTE MARKER	Mn		ARABIC_EXTENDED_A	footnote	*		230	NSM					N							࣠		ARABIC_EXTENDED_A				
࣡		08E1	ARABIC SMALL HIGH SIGN SAFHA	Mn		ARABIC_EXTENDED_A				230	NSM					N							࣡		ARABIC_EXTENDED_A				
࣢		08E2	ARABIC DISPUTED END OF AYAH	Cf		ARABIC_EXTENDED_A				0	AN					N							࣢		ARABIC_EXTENDED_A				
ࣣ		08E3	ARABIC TURNED DAMMA BELOW	Mn		ARABIC_EXTENDED_A				220	NSM					N							ࣣ		ARABIC_EXTENDED_A				
ࣤ		08E4	ARABIC CURLY FATHA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣤ		ARABIC_EXTENDED_A				
ࣥ		08E5	ARABIC CURLY DAMMA	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣥ		ARABIC_EXTENDED_A				
ࣦ		08E6	ARABIC CURLY KASRA	Mn		ARABIC_EXTENDED_A				220	NSM					N							ࣦ		ARABIC_EXTENDED_A				
ࣧ		08E7	ARABIC CURLY FATHATAN	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣧ		ARABIC_EXTENDED_A				
ࣨ		08E8	ARABIC CURLY DAMMATAN	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣨ		ARABIC_EXTENDED_A				
ࣩ		08E9	ARABIC CURLY KASRATAN	Mn		ARABIC_EXTENDED_A				220	NSM					N							ࣩ		ARABIC_EXTENDED_A				
࣪		08EA	ARABIC TONE ONE DOT ABOVE	Mn		ARABIC_EXTENDED_A				230	NSM					N							࣪		ARABIC_EXTENDED_A				
࣫		08EB	ARABIC TONE TWO DOTS ABOVE	Mn		ARABIC_EXTENDED_A				230	NSM					N							࣫		ARABIC_EXTENDED_A				
࣬		08EC	ARABIC TONE LOOP ABOVE	Mn		ARABIC_EXTENDED_A				230	NSM					N							࣬		ARABIC_EXTENDED_A				
࣭		08ED	ARABIC TONE ONE DOT BELOW	Mn		ARABIC_EXTENDED_A				220	NSM					N							࣭		ARABIC_EXTENDED_A				
࣮		08EE	ARABIC TONE TWO DOTS BELOW	Mn		ARABIC_EXTENDED_A				220	NSM					N							࣮		ARABIC_EXTENDED_A				
࣯		08EF	ARABIC TONE LOOP BELOW	Mn		ARABIC_EXTENDED_A				220	NSM					N							࣯		ARABIC_EXTENDED_A				
ࣰ		08F0	ARABIC OPEN FATHATAN	Mn		ARABIC_EXTENDED_A				27	NSM					N							ࣰ		ARABIC_EXTENDED_A				
ࣱ		08F1	ARABIC OPEN DAMMATAN	Mn		ARABIC_EXTENDED_A				28	NSM					N							ࣱ		ARABIC_EXTENDED_A				
ࣲ		08F2	ARABIC OPEN KASRATAN	Mn		ARABIC_EXTENDED_A				29	NSM					N							ࣲ		ARABIC_EXTENDED_A				
ࣳ		08F3	ARABIC SMALL HIGH WAW	Mn		ARABIC_EXTENDED_A				230	NSM					N							ࣳ		ARABIC_EXTENDED_A				
